,Value,R,G,B
1,2,0.02,0.3813,0.9981
2,2.19048,0.0200001,0.424268,0.96907
3,2.38095,0.02,0.467234,0.940033
4,2.57143,0.02,0.5102,0.911
5,2.7619,0.0200001,0.546401,0.872669
6,2.95238,0.02,0.5826,0.834333
7,3.14286,0.02,0.6188,0.796
8,3.33333,0.0200001,0.652535,0.749802
9,3.52381,0.02,0.686267,0.7036
10,3.71429,0.02,0.72,0.6574
11,3.90476,0.0200001,0.757035,0.603735
12,4.09524,0.02,0.794067,0.550066
13,4.28571,0.02,0.8311,0.4964
14,4.47619,0.0213543,0.864537,0.428558
15,4.66667,0.0233129,0.897999,0.360739
16,4.85714,0.0159761,0.931048,0.292563
17,5.04762,0.274211,0.952563,0.153568
18,5.2381,0.493355,0.961904,0.111195
19,5.42857,0.6439,0.9773,0.0469
20,5.61905,0.762402,0.98467,0.0346002
21,5.80952,0.880901,0.992033,0.0222999
22,6,0.999529,0.999519,0.0134885
23,6.19048,0.999403,0.955036,0.0790666
24,6.38095,0.9994,0.910666,0.148134
25,6.57143,0.9994,0.8663,0.2172
26,6.7619,0.99927,0.818036,0.217201
27,6.95238,0.999133,0.769766,0.2172
28,7.14286,0.999,0.7215,0.2172
29,7.33333,0.999136,0.673436,0.217201
30,7.52381,0.999267,0.625366,0.2172
31,7.71429,0.9994,0.5773,0.2172
32,7.90476,0.999403,0.521068,0.217201
33,8.09524,0.9994,0.464833,0.2172
34,8.28571,0.9994,0.4086,0.2172
35,8.47619,0.99476,0.331773,0.211231
36,8.66667,0.986713,0.259518,0.190122
37,8.85714,0.991246,0.147994,0.210789
38,9.04762,0.949903,0.116867,0.252901
39,9.2381,0.9032,0.0784329,0.2918
40,9.42857,0.8565,0.04,0.3307
41,9.61905,0.798903,0.0433335,0.358434
42,9.80952,0.741299,0.0466667,0.386167
43,10,0.6837,0.05,0.4139