Photon Energy (eV),Reflectivity (%)
0.0117, 98.7204
0.047, 95.1148
0.0695, 90.8603
0.0804, 87.545
0.0665, 84.3538
0.1144, 81.9712
0.0888, 79.8927
0.1001, 78.0855
0.0989, 75.8855
0.0856, 73.96
0.1341, 72.9053
0.1697, 70.8474
0.1684, 68.6549
0.1796, 66.9102
0.1784, 65.0252
0.2139, 63.0094
0.2373, 61.232
0.2729, 59.5036
0.2961, 57.66
0.3562, 55.8704
0.4038, 53.9828
0.4395, 52.4591
0.5121, 51.2677
0.5724, 49.9613
0.6451, 48.8267
0.7546, 47.7151
0.8641, 46.6289
0.9247, 45.701
0.9969, 44.2819
1.0325, 42.9092
1.0806, 41.9362
1.1528, 40.518
1.2129, 39.2604
1.2246, 38.7027
1.3215, 37.6068
1.3817, 36.5439
1.4538, 35.2073
1.5512, 34.5049
1.6116, 33.7218
1.6723, 33.2404
1.7328, 32.579
1.8058, 32.0216
1.891, 31.4732
1.9641, 31.112
2.0616, 30.5786
2.1715, 30.1397
2.269, 29.7078
2.3913, 29.3647
2.4892, 29.193
2.587, 28.857
2.7343, 28.9331
2.857, 28.8453
2.9672, 28.6761
3.0776, 28.6714
3.1638, 28.8319
3.2499, 28.9935
3.3729, 29.1543
3.422, 29.1522
3.4963, 29.6531
3.595, 29.9896
3.6568, 30.3316
3.669, 30.2445
3.7435, 30.8521
3.8176, 31.2927
3.8923, 32.0129
3.9794, 32.9367
4.0911, 33.8859
4.1541, 35.2659
4.217, 36.5974
4.28, 38.0878
4.3675, 39.5243
4.4553, 41.3682
4.5549, 42.8052
4.5931, 44.1697
4.656, 45.8373
4.7308, 47.1609
4.8178, 48.5219
4.8812, 50.7873
5.0049, 51.9523
5.1406, 52.8401
5.2631, 52.5293
5.3601, 51.0418
5.4571, 49.5965
5.5541, 48.1921
5.6513, 47.0959
5.6877, 46.6912
5.7598, 44.9834
5.8444, 43.5857
5.9284, 41.6322
5.9761, 40.2258
6.0606, 38.8647
6.108, 37.3377
6.1558, 36.1795
6.1909, 34.7587
6.2634, 33.7757
6.2985, 32.4492
6.3338, 31.3535
6.3817, 30.381
6.4291, 29.1873
6.4279, 28.365
6.5121, 27.249
6.5714, 25.8803
6.6185, 24.7218
6.629, 23.684
6.6642, 22.7539
6.6991, 21.7357
6.7465, 20.8817
6.7569, 19.948
6.8162, 19.0003
6.8144, 18.203
6.8498, 17.5884
6.8721, 16.7059
6.9071, 15.9583
6.9423, 15.3316
6.9401, 14.5629
6.9628, 13.9513
6.9609, 13.3277
6.9838, 12.8046
7.0058, 12.0239
7.0526, 11.3876
7.0626, 10.7854
7.0484, 10.3035
7.1071, 9.6749
7.1421, 9.2684
7.1403, 8.8542
7.1752, 8.4579
7.1974, 8.0106
7.1958, 7.6965
7.2064, 7.3945
7.2291, 7.0839
7.2638, 6.7284
7.2741, 6.4092
7.2847, 6.1577
7.2951, 5.8992
7.33, 5.6352
7.3526, 5.3678
7.3509, 5.1573
7.3491, 4.9409
7.3839, 4.7063
7.4307, 4.4573
7.4281, 4.1856
7.4501, 3.9417
7.4707, 3.5868
7.4566, 3.4266
7.4667, 3.2547
7.5017, 3.1179
7.5122, 2.987
7.5346, 2.8372
7.5572, 2.7103
7.567, 2.5524
7.5646, 2.4106
7.6236, 2.2764
7.6217, 2.1747
7.656, 2.0479
7.6905, 1.9396
7.7117, 1.7904
7.7458, 1.6764
7.78, 1.5741
7.8149, 1.5037
7.8373, 1.4282
7.8596, 1.3527
7.8944, 1.2885
7.9417, 1.2343
8.028, 1.2448
8.09, 1.2662
8.1655, 1.3215
8.1922, 1.3912
8.2553, 1.452
8.27, 1.5373
8.3092, 1.6278
8.3994, 1.8039
8.4014, 1.8937
8.4527, 1.9935
8.467, 2.0927
8.5053, 2.1718
8.4946, 2.2541
8.5083, 2.3327
8.584, 2.4485
8.6231, 2.585
8.675, 2.7683
8.7141, 2.9226
8.7776, 3.0766
8.8286, 3.2203
8.8677, 3.3998
8.9189, 3.579
8.9702, 3.7677
9.009, 3.955
9.0479, 4.1517
9.1239, 4.3954
9.1632, 4.667
9.2264, 4.871
9.24, 5.0264
9.2909, 5.2462
9.367, 5.5701
9.443, 5.8971
9.4944, 6.2257
9.6073, 6.6096
9.6954, 6.9576
9.7711, 7.3032
9.8715, 7.7096
9.984, 8.092
10.0599, 8.5426
10.1362, 9.0959
10.2483, 9.4657
10.3117, 9.936
10.3604, 9.8504
10.375, 10.3999
10.4873, 10.8847
10.6124, 11.5228
10.7128, 12.1293
10.8496, 12.6579
10.9008, 13.3251
11.0257, 14.0259
11.175, 14.7208
11.2878, 15.5842
11.2756, 15.5845
11.3754, 16.2183
11.5121, 16.8769
11.6124, 17.7652
11.7367, 18.4342
11.8363, 19.0745
11.9979, 20.0193
12.1103, 20.9525
12.2221, 21.6799
12.3465, 22.5607
12.4457, 23.0791
12.495, 23.2096
12.7437, 25.0622
12.6194, 24.1526
12.6573, 24.7805
12.818, 25.4928
12.9421, 26.3021
13.0423, 27.6074
13.2277, 28.4812
13.3517, 29.3853
13.4883, 30.4914
13.6494, 31.6379
13.7488, 32.5503
13.8728, 33.5836
13.9727, 34.9494
14.0848, 36.37
14.1965, 37.4182
14.2715, 38.7194
14.3951, 39.4945
14.5072, 41.0998
14.5822, 42.4077
14.6696, 44.0071
14.7814, 45.5349
14.8693, 47.6592
14.9317, 48.7569
15.0071, 50.8868
15.0695, 52.2078
15.1441, 53.4092
15.2427, 53.8611
15.3772, 53.2382
15.499, 52.1741
15.5843, 51.2805
15.6695, 50.4022
15.755, 49.9655
15.8649, 49.2484
15.9743, 47.99
16.1336, 47.705
16.3048, 47.0161
16.4761, 46.4697
16.6354, 46.1938
16.7822, 45.6587
16.9171, 45.5192
17.0394, 44.9935
17.1743, 44.8559
17.3213, 44.5905
17.4561, 44.3274
17.6278, 44.1895
17.7377, 43.68
17.885, 43.6703
18.032, 43.4119
18.1177, 43.1589
18.2768, 42.6581
18.3871, 42.5293
18.4851, 42.2807
18.62, 42.2722
18.767, 41.902
18.9019, 41.774
18.963, 41.6509
19.0856, 41.4059
19.2205, 41.2793
19.4163, 40.7982
19.5758, 40.672
19.7349, 40.3152
19.882, 40.0765
20.0167, 39.7264
20.1146, 39.4941
20.2618, 39.3727
20.4577, 38.9138
20.6048, 38.7941
20.8129, 38.2318
20.9965, 37.7868
21.1556, 37.3483
21.2901, 36.9163
21.486, 36.486
21.6204, 35.9611
21.7673, 35.6461
21.8897, 35.3354
21.9876, 35.1288
22.1339, 34.3272
22.3053, 33.9283
22.4399, 33.6319
22.5865, 33.0528
22.7212, 32.8578
22.9775, 31.7378
23.0754, 31.4622
23.2584, 30.6548
23.3926, 30.0416
23.5635, 29.439
23.7102, 29.0149
23.7953, 28.4365
23.9417, 27.8672
24.1003, 27.2308
24.2708, 26.3813
24.454, 25.7779
24.5632, 25.0475
24.7217, 24.4056
24.8311, 23.782
24.9896, 23.1724
25.1967, 22.3205
25.3305, 21.6872
25.4517, 20.8923
25.5976, 20.2414
25.7193, 19.7238
25.8163, 19.1653
25.9501, 18.6216
26.0469, 18.0426
26.1319, 17.6324
26.2533, 17.0836
26.375, 16.6468
26.4717, 16.0833
26.5444, 15.718
26.6173, 15.4491
26.7144, 15.0546
26.7993, 14.6703
26.8965, 14.3777
26.9691, 14.0111
27.0298, 13.7715
27.0901, 13.4207
27.1995, 13.0778
27.2723, 12.8173
27.3694, 12.49
27.4541, 12.1366
27.6474, 11.2642
27.757, 11.0708
27.8417, 10.7268
27.9388, 10.4529
28.0842, 9.9835
28.1813, 9.7286
28.254, 9.5076
28.3388, 9.265
28.4481, 9.0025
28.5575, 8.7724
28.6669, 8.5483
28.7391, 8.2591
28.7993, 8.0487
28.8843, 7.8883
28.9691, 7.6651
29.0783, 7.4266
29.1629, 7.1959
29.2969, 7.0318
29.3815, 6.8133
29.4665, 6.6583
29.5878, 6.4512
29.6724, 6.2507
29.8191, 6.1431
29.8795, 6.0037
29.9642, 5.8338
30.0856, 5.6522
30.1951, 5.5236
30.3168, 5.3822
30.4751, 5.2294
30.5478, 5.1107
30.6571, 4.9658
30.7417, 4.8115
30.8144, 4.7023
30.8992, 4.5823
30.9967, 4.5037
31.1062, 4.4012
31.252, 4.2519
31.3489, 4.1197
31.5556, 3.9343
31.6526, 3.8338
31.7501, 3.7574
31.9447, 3.6089
32.103, 3.4964
32.2121, 3.3877
32.3462, 3.3104
32.4678, 3.2258
32.5528, 3.1524
32.6867, 3.0806
32.7598, 3.0279
32.8812, 2.9336
33.0152, 2.8667
33.0882, 2.8176
33.2589, 2.7454
33.3684, 2.6829
33.4777, 2.6069
33.5873, 2.5548
33.6724, 2.511
33.7454, 2.4681
33.8429, 2.4258
33.9402, 2.3774
34.0378, 2.3433
34.1349, 2.2835
34.2691, 2.2378
34.3416, 2.1808
34.4515, 2.1495
34.5614, 2.1186
34.6465, 2.0823
34.7929, 2.0348
34.8778, 1.9886
34.9995, 1.9377
35.1459, 1.8989
35.3166, 1.8449
35.4018, 1.8133
35.548, 1.7669
35.6453, 1.7317
35.7795, 1.7019
35.9014, 1.6631
36.011, 1.6299
36.145, 1.5927
36.1935, 1.5699
36.3639, 1.521
36.5345, 1.4736
36.632, 1.4483
36.7782, 1.4112
36.888, 1.387
36.9609, 1.3633
37.0949, 1.3322
37.2168, 1.3056
37.3509, 1.2758
37.4606, 1.2539
37.607, 1.2288
37.692, 1.2009
37.7896, 1.187
37.8745, 1.1567
37.9964, 1.1336
38.1185, 1.1142
38.2162, 1.1013
38.3381, 1.0793
38.4722, 1.0577
38.5205, 1.0367
38.7041, 1.0246
38.8383, 1.0041
38.9599, 0.9785
39.0698, 0.9644
39.167, 0.9425
39.2771, 0.9343
39.4234, 0.913
39.4474, 0.9
39.5817, 0.887
39.7042, 0.8793
39.8016, 0.8641
39.8504, 0.8568
39.9478, 0.842
40.0209, 0.83
