Mass (lbs),Mass Error (lbs),Mass (kg),Mass Error (kg),Force (N),Force Error (N),Reading,VCC (V),ADC bits,ADC Voltage (V)
0,0.1,0,0.05,0,0.49,68614,4.25,24,0.0173812817
3.2,0.08,1.45,0.04,14.24,0.39,258049,4.25,24,0.06536890956
5,0.125,2.27,0.06,22.29,0.59,372971,4.25,24,0.09448092249
6.1,0.1525,2.77,0.07,27.2,0.69,441825,4.25,24,0.1119230009
8.2,0.205,3.72,0.09,36.53,0.88,566685,4.25,24,0.1435525056
10,0.25,4.54,0.11,44.58,1.08,679138,4.25,24,0.172039072
13.1,0.3275,5.94,0.15,58.33,1.47,862973,4.25,24,0.2186081093
15.1,0.3775,6.85,0.17,67.27,1.67,990953,4.25,24,0.2510279716
16.2,0.405,7.35,0.18,72.18,1.77,997945,4.25,24,0.2527991833
18.2,0.455,8.26,0.21,81.11,2.06,1139949,4.25,24,0.2887716018
20.2,0.505,9.16,0.23,89.95,2.26,1458989,4.25,24,0.3695907366
23.2,0.58,10.52,0.26,103.31,2.55,1678620,4.25,24,0.4252276078
26.4,0.66,11.97,0.3,117.55,2.95,1787329,4.25,24,0.4527657451